Strategy,Name,ROI,Sharpe Ratio,Max Drawdown,Win Rate,Profit Factor,Total Trades,Final Capital,Annual Volatility,Calmar Ratio,Sortino Ratio
AGGRESSIVE,Aggressive Strategy,15.00%,16.1694,0.70%,87.50%,21.28,32,"$115,004.98",70.92%,21.3340,57.6267
CONSERVATIVE,Conservative Strategy,16.58%,11.6262,0.94%,83.87%,11.02,31,"$116,580.68",139.65%,17.7092,172.2067
BALANCED,Balanced Strategy,19.33%,13.7331,1.58%,80.00%,12.60,40,"$119,331.95",84.39%,12.2732,59.0209
