Strategy,Name,ROI,Sharpe Ratio,Max Drawdown,Win Rate,Profit Factor,Total Trades,Final Capital,Annual Volatility,Calmar Ratio,Sortino Ratio
AGGRESSIVE,Aggressive Strategy,6.96%,13.0172,0.46%,78.79%,5.85,33,"$106,962.30",41.76%,15.0567,27.9359
CONSERVATIVE,Conservative Strategy,5.13%,7.3033,1.67%,65.52%,2.81,29,"$105,132.28",78.87%,3.0815,26.4795
BALANCED,Balanced Strategy,9.08%,8.1204,1.95%,75.68%,3.50,37,"$109,080.64",76.88%,4.6553,14.6178
