Strategy,Name,ROI,Sharpe Ratio,Max Drawdown,Win Rate,Profit Factor,Total Trades,Final Capital,Annual Volatility,Calmar Ratio,Sortino Ratio
AGGRESSIVE,Aggressive Strategy,16.06%,6.8544,2.74%,71.15%,2.81,52,"$116,057.66",56.96%,5.8654,18.8298
CONSERVATIVE,Conservative Strategy,3.50%,3.9321,1.96%,46.43%,1.80,28,"$103,495.48",86.42%,1.7834,20.6984
BALANCED,Balanced Strategy,9.53%,5.4177,2.29%,58.70%,2.10,46,"$109,525.34",66.99%,4.1589,23.5232
