Strategy,Name,ROI,Sharpe Ratio,Max Drawdown,Win Rate,Profit Factor,Total Trades,Final Capital,Annual Volatility,Calmar Ratio,Sortino Ratio
AGGRESSIVE,Aggressive Strategy,20.97%,10.4916,3.07%,72.50%,5.14,40,"$120,967.09",118.67%,6.8228,40.1037
CONSERVATIVE,Conservative Strategy,13.41%,8.9750,2.49%,65.22%,4.67,23,"$113,409.59",199.11%,5.3936,49.4682
BALANCED,Balanced Strategy,21.13%,9.4513,2.90%,75.00%,5.67,32,"$121,130.59",166.44%,7.2936,79.4319
