Date,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,SMA_10,SMA_20,SMA_50,SMA_200,EMA_10,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Histogram,ROC_12,BB_Middle,BB_Upper,BB_Lower,ATR_14,Volatility_20,Sentiment_1d,Sentiment_3d,Sentiment_7d,News_Volume_7d,Sentiment_Momentum
2020-10-15 04:00:00,117.1933822631836,117.66910513115165,114.70796452850907,115.26135855246798,112559200,114.2807861328125,111.41187553405761,113.51273468017578,85.80222173690795,115.08819262756387,113.50781600253784,110.02892471635867,56.82412317792956,1.6447591462515163,0.7725008194977296,0.8722583267537867,5.8024131657882005,111.41187553405761,120.64764238486296,102.17610868325227,3.4306263914707733,43.18122850883342,0.0,0.0,0.0,0.0,0.0
2020-10-16 04:00:00,115.5526351928711,118.00893594757436,115.34875392683747,117.74679760043794,115393800,114.86330795288086,112.00313415527344,113.61608383178711,86.01798227310181,115.172636730347,113.70256068733147,110.24554081347681,54.01894761474069,1.597627373129015,0.9375261302239868,0.6601012429050281,2.7717825689235642,112.00313415527344,120.6637048808423,103.34256342970458,3.4098226863382117,41.62069388522683,0.0,0.0,0.0,0.0,0.0
2020-10-19 04:00:00,112.60118865966797,116.9118342796432,112.29051143113706,116.46523622657561,120639300,114.81282348632813,112.28953971862794,113.71059799194336,86.22250509262085,114.70510071749626,113.59766811326828,110.33791916038626,49.30389543149878,1.3070511622148047,1.0114311366221505,0.2956200255926542,-0.6935501951360612,112.28953971862794,120.60788569550148,103.97119374175439,3.619252366922215,41.96617123064482,0.0,0.0,0.0,0.0,0.0
2020-10-20 04:00:00,114.08662414550781,115.51380033230909,112.26138879057609,112.81478288268985,124423700,115.23515167236329,112.56623764038086,113.80346145629883,86.43159860610962,114.59265043168018,113.64423535443395,110.48492719901849,51.59393870357696,1.1829928458422927,1.045743478466179,0.1372493673761137,3.9727602023391206,112.56623764038086,120.72789032767899,104.40458495308273,3.5991419990241575,41.87376080346623,0.0,0.0,0.0,0.0,0.0
2020-10-21 04:00:00,113.46526336669922,115.25165563302974,113.05749347361974,113.27108546353527,89946000,115.40893630981445,113.03953628540039,113.94899444580078,86.63928468704223,114.38767096532,113.6271904032211,110.60180312716282,50.56498994100694,1.0227475176586722,1.0411442863046776,-0.018396768646005368,0.31760466788810504,113.03953628540039,120.13801885888896,105.94105371191182,3.6234145993808844,38.5728898228867,0.0,0.0,0.0,0.0,0.0
2020-10-22 04:00:00,112.37789916992188,114.60118635769001,111.25168945435153,114.02837075211397,101988000,115.48466644287109,113.40506782531739,114.00219802856445,86.83574861526489,114.02225791161123,113.50821028576404,110.67145395236906,48.73336177562777,0.7988026377985733,0.9926759566034569,-0.19387331880488357,2.2888042839976253,113.40506782531739,119.44970185051908,107.3604338001157,3.5457457431627586,38.831643678952915,0.0,0.0,0.0,0.0,0.0
2020-10-23 04:00:00,111.6885757446289,113.15458745033783,110.95071451824744,112.99924512599237,82572600,115.29728851318359,113.53904762268067,114.00278076171875,87.02100408554077,113.59795206306899,113.33491175803688,110.71134108147729,47.5572811444253,0.5592553203600232,0.9059918293547702,-0.34673650899474695,-0.03476429385395052,113.53904762268067,119.28480753779222,107.79328770756912,3.4514332454363523,36.82173862491166,0.0,0.0,0.0,0.0,0.0
2020-10-26 04:00:00,111.69828033447266,113.15458121285103,109.591492767667,110.6885775032748,111850700,114.38952865600587,113.54341659545898,114.00554733276367,87.20546434402466,113.25255720332419,113.1790420986498,110.75004458159475,47.576462349209336,0.36597667346141805,0.7979887981760998,-0.43201212471468176,0.06959512547046742,113.54341659545898,119.28313304444904,107.80370014646891,3.411212148753137,35.857842870308225,0.0,0.0,0.0,0.0,0.0
2020-10-27 04:00:00,113.20313262939453,113.86332273009963,111.20314823922772,112.12546926784462,92276800,113.95264053344727,113.66525993347167,114.04423690795899,87.38945791244507,113.24357091715515,113.1813364349112,110.84624411288101,50.59412476119503,0.33042205712766304,0.7044754499664124,-0.3740533928387494,-0.3163217352951997,113.66525993347167,119.25833741015455,108.0721824567888,3.435482930313526,36.02462336309023,0.0,0.0,0.0,0.0,0.0
2020-10-28 04:00:00,107.96044921875,112.06722147724142,107.86336396260268,111.69829454102945,143937800,112.98274307250976,113.44147491455078,113.95952865600586,87.55239656448364,112.28300333562694,112.68410908099109,110.7330756856602,41.608116276513755,-0.11941937654283663,0.5396964846645627,-0.6591158612073993,-10.610918176341933,113.44147491455078,119.57377950004363,107.30917032905793,3.691375364731563,39.35444603776688,0.0,0.0,0.0,0.0,0.0
2020-10-29 04:00:00,111.96043395996094,113.52353114594587,108.93132485149748,109.09637794730227,146129200,112.4594482421875,113.3701171875,113.95200515747071,87.73695013046265,112.22435435823311,112.61518764089298,110.7812073826916,49.044281815600556,-0.15141123978872884,0.4014749397739044,-0.5528861795626332,-4.772887450870023,113.3701171875,119.5381715224265,107.2020628525735,3.944495083501934,41.58258477757478,0.0,0.0,0.0,0.0,0.0
2020-10-30 04:00:00,105.68862915039062,108.7274415434045,104.58184087142044,107.82453453612558,190272600,111.47304763793946,113.16817779541016,113.76919067382812,87.8854442024231,111.03604068407992,111.95551540370228,110.5814984324053,40.36439777468628,-0.6750655192799968,0.1861668479631242,-0.861232367243121,-10.174106151684981,113.16817779541016,120.06033430176079,106.27602128905953,3.9021946554358755,44.73725891737957,0.0,0.0,0.0,0.0,0.0
2020-11-02 05:00:00,105.60123443603516,107.4555945603439,104.19347979423505,105.9313331743507,122866900,110.77305221557617,112.79293785095214,113.46627990722656,88.02929502487183,110.04789409352632,111.35034578773399,110.3861939619594,40.25748011404435,-1.0846145699493235,-0.06798943561936535,-1.0166251343299582,-9.891469640423644,112.79293785095214,120.47164827946638,105.1142274224379,3.7371474579047512,43.08812076112051,0.0,0.0,0.0,0.0,0.0
2020-11-03 05:00:00,107.22257995605469,108.24198610997585,105.56239787070092,106.4653046968192,107624400,110.08664779663086,112.66089973449706,113.16691299438476,88.18385583877563,109.53420061398602,110.95722523233596,110.26213066761021,43.26019371590475,-1.2637879491337145,-0.30714913832223517,-0.9566388108114794,-7.208883832820046,112.66089973449706,120.63678439261096,104.68501507638317,3.6920713308875293,42.44903904907521,0.0,0.0,0.0,0.0,0.0
2020-11-04 05:00:00,111.6011962890625,112.22255078584597,109.07694271998845,110.81479612438059,138235500,109.90024108886719,112.65458869934082,112.97516723632812,88.35894784927368,109.91001800945446,111.01855580916705,110.31464304492206,50.49643225208676,-1.0404724794896936,-0.4538138065557269,-0.5866586729339667,-0.8880833164451762,112.65458869934082,120.63378244777616,104.67539495090548,3.8377020613981503,44.572290828308425,0.0,0.0,0.0,0.0,0.0
2020-11-05 05:00:00,115.56232452392578,116.13514003797306,113.46525517113334,114.513786143965,126387100,110.21868362426758,112.85167503356934,112.82968231201171,88.55200128555298,110.9377101029947,111.45129568676312,110.52043447547123,55.96742122445683,-0.5376655431756348,-0.4705841538797085,-0.06708138929592627,1.293491142779235,112.85167503356934,120.91758394532913,104.78576612180954,3.971542184839127,46.27935659174057,0.0,0.0,0.0,0.0,0.0
2020-11-06 05:00:00,115.43106079101562,115.92705207680842,112.94134718075708,115.07121742885344,114457900,110.59293212890626,112.94511032104492,112.71094100952149,88.74550748825074,111.75468295536214,111.83032093478717,110.71300805647299,55.74755138068559,-0.1480724231255266,-0.4060818077288721,0.2580093846033455,1.732510343684046,112.94511032104492,121.08860333822328,104.80161730386656,3.854712331092356,45.93531991575582,0.0,0.0,0.0,0.0,0.0
2020-11-09 05:00:00,113.12611389160156,118.64042665215963,112.86353074963101,117.19134078148167,154515300,110.73571548461913,112.5626220703125,112.55003280639649,88.93877012252807,112.0040340346784,111.95372978781711,110.80763965785057,51.89245330021596,-0.025018621066578817,-0.32986917039641345,0.30485054932983463,0.6658023750278019,112.5626220703125,119.82882579052885,105.29641835009615,4.035032642577758,40.10526409669936,0.0,0.0,0.0,0.0,0.0
2020-11-10 05:00:00,112.78572845458984,114.36124218625869,110.99624681601809,112.37726248118744,138023400,110.69397506713867,112.32330780029297,112.30013305664062,89.11979681015015,112.14616029284412,112.03296775608118,110.88521176752663,51.32796054383955,0.044522911167433676,-0.254990754083644,0.2995136652510777,0.9823320806503277,112.32330780029297,119.19965164831684,105.44696395226909,4.118663586208515,39.12935494190567,0.0,0.0,0.0,0.0,0.0
2020-11-11 05:00:00,116.20907592773438,116.34523125447596,113.24282640096855,113.97223311704505,112295000,111.5188377380371,112.25079040527343,112.01889526367188,89.30992528915405,112.88487222646052,112.43069234385767,111.09399075420144,56.458069040528116,0.37158718173078853,-0.12967516692075753,0.5012623486515461,4.038375147544304,112.25079040527343,118.91758765777561,105.58399315277126,4.1336640073904904,40.760685285426646,0.0,0.0,0.0,0.0,0.0
2020-11-12 05:00:00,115.93675994873047,117.22051541325983,115.31433350652887,116.33550583009225,103162300,111.91647033691406,112.18795928955078,111.78619140625,89.499258518219,113.43976090323686,112.76460354432174,111.28390327163395,55.95285422554142,0.6018762935994033,0.016635125183274632,0.5852411684161287,2.414798297398102,112.18795928955078,118.68002057680104,105.69589800230051,4.112400362721959,40.74548321332318,0.0,0.0,0.0,0.0,0.0
2020-11-13 05:00:00,115.98539733886719,116.38413582545107,114.63356412889462,116.16045525051373,81581900,112.94614715576172,112.20959739685058,111.75873107910157,89.7061427116394,113.90260389153327,113.07134581046894,111.46827558799603,56.02853800003889,0.7793231526116671,0.16917273066895314,0.610150421942714,7.433229648625295,112.20959739685058,118.75157056608188,105.66762422761929,3.9829348806771327,40.41904003261789,0.0,0.0,0.0,0.0,0.0
2020-11-16 05:00:00,116.9968490600586,117.66789824397613,114.90588149878657,115.65473585240478,91183000,114.08570861816406,112.42938041687012,111.74994598388672,89.91910860061645,114.46519392217424,113.44520326281082,111.68508239082202,57.65789783143866,0.9901529013617676,0.3333687648075161,0.6567841365542515,4.498388334131298,112.42938041687012,119.31316846140628,105.54559237233396,3.9902093274141075,39.305922884147996,0.0,0.0,0.0,0.0,0.0
2020-11-17 05:00:00,116.11182403564453,117.35667698637204,115.69363055189307,116.26743436443991,74271000,114.97463302612304,112.53064041137695,111.88151748657226,90.11536764144897,114.76458121553246,113.69916714593785,111.85868010238369,55.71256321055296,1.073448823348187,0.4813847765156503,0.5920640468325367,9.862172467410968,112.53064041137695,119.5747856809505,105.4864951418034,3.7275863108203304,39.227218262957,0.0,0.0,0.0,0.0,0.0
2020-11-18 05:00:00,114.78916931152344,116.53002096182686,114.75999422898965,115.35324564020682,76322100,115.29343032836914,112.59683570861816,111.89925796508788,90.30187971115112,114.7690517784399,113.80297687599362,111.97360124784015,52.843107783359606,1.0209652078994225,0.5893008627924048,0.4316643451070177,8.70059419717637,112.59683570861816,119.70257414020631,105.49109727703001,3.456653796937569,39.41655493611721,0.0,0.0,0.0,0.0,0.0
