Date,Close_AMZN,High_AMZN,Low_AMZN,Open_AMZN,Volume_AMZN,SMA_10,SMA_20,SMA_50,SMA_200,EMA_10,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Histogram,ROC_12,BB_Middle,BB_Upper,BB_Lower,ATR_14,Volatility_20,Sentiment_1d,Sentiment_3d,Sentiment_7d,News_Volume_7d,Sentiment_Momentum
2020-10-15 04:00:00,166.9324951171875,167.79400634765625,164.0,164.60049438476562,104468000,163.42985076904296,158.83509979248046,161.06153900146484,127.4759243774414,164.67977693231143,161.9994393558133,158.52184051489013,56.68939860278006,2.6186098917584104,1.1014071571748998,1.5172027345835106,6.16143803147613,158.83509979248046,173.15470340538747,144.51549617957346,4.706787109375,42.658404529499194,0.0,0.0,0.0,0.0,0.0
2020-10-16 04:00:00,163.635498046875,169.98300170898438,158.0,168.1614990234375,129488000,164.16840057373048,159.62959976196288,161.10924896240235,127.81959938049316,164.48990804405025,162.15525446924775,158.72237610437975,52.66191011131225,2.4046615835479486,1.3620580424495097,1.042603541098439,3.937463933540597,159.62959976196288,173.09638105424938,146.16281846967638,5.277323041643415,42.79906507457593,0.0,0.0,0.0,0.0,0.0
2020-10-19 04:00:00,160.36050415039062,166.4499969482422,159.63699340820312,164.98049926757812,104472000,164.2084503173828,160.2464500427246,161.1489990234375,128.15265941619873,163.73910733611214,161.98432586745184,158.7866164199096,48.94233159540476,1.9483816399763612,1.4793227619548799,0.4690588780214813,-0.4361643420326522,160.2464500427246,172.55524016188608,147.93765992356313,5.564966474260602,43.737528574354336,0.0,0.0,0.0,0.0,0.0
2020-10-20 04:00:00,160.85049438476562,163.3000030517578,159.60049438476562,161.11399841308594,90194000,164.7936996459961,160.46650009155275,161.21784881591796,128.48119190216065,163.21390498132186,161.8763419167198,158.86755281068827,49.51685161677459,1.6077811143934753,1.505014432442599,0.10276668195087635,2.9443164062499916,160.46650009155275,172.6461599419701,148.2868402411354,5.5474668230329245,39.08494097019974,0.0,0.0,0.0,0.0,0.0
2020-10-21 04:00:00,159.2469940185547,161.69400024414062,158.0,160.625,91854000,164.73994903564454,160.92919998168946,161.32211883544923,128.80071186065675,162.49264844263692,161.62592783118026,158.88243285805558,47.628104519897185,1.1946919997303098,1.4429499459001411,-0.24825794616983132,-0.4457443519541249,160.92919998168946,172.09442446810093,149.763975495278,5.542502267020089,35.9794021179886,0.0,0.0,0.0,0.0,0.0
2020-10-22 04:00:00,158.82000732421875,159.9375,156.0970001220703,159.49349975585938,84240000,164.66920013427733,161.32072525024415,161.33627899169923,129.12181938171386,161.82489551201544,161.35869730670774,158.87998479790514,47.112769820918935,0.8233703416884168,1.3190340250577965,-0.4956636833693797,2.4658422679617598,161.32072525024415,171.52630562004043,151.11514488044787,5.465894426618304,36.01466023944165,0.0,0.0,0.0,0.0,0.0
2020-10-23 04:00:00,160.22000122070312,160.26649475097656,157.0,159.5500030517578,69334000,164.25794982910156,161.59390029907226,161.37965911865234,129.44765689849854,161.53309654995866,161.25025006042156,158.9325344615443,49.0589820224272,0.6347461017262788,1.1821764403914932,-0.5474303386652144,0.2725552843361623,161.59390029907226,171.34189266525692,151.8459079328876,5.422322954450335,35.14190377296737,0.0,0.0,0.0,0.0,0.0
2020-10-26 04:00:00,160.3520050048828,164.1490020751953,157.6649932861328,159.93699645996094,118024000,163.07850036621093,161.67637557983397,161.43867919921874,129.77862693786622,161.31835263267212,161.164702912275,158.98819997304776,49.24862297196097,0.49026022013237025,1.0437931963396685,-0.5535329762072982,0.5168442343292501,161.67637557983397,171.34898474535254,152.0037664143154,5.495465959821429,34.02430353082726,0.0,0.0,0.0,0.0,0.0
2020-10-27 04:00:00,164.31649780273438,164.58299255371094,160.56500244140625,161.2469940185547,85820000,162.29199981689453,162.03000030517578,161.5425991821289,130.12738441467286,161.8634699363198,161.46487385422353,159.1971528291139,54.70271665515211,0.6877278555197961,0.9725801281756941,-0.28485227265589796,-0.009740294409454897,162.03000030517578,171.53601292532022,152.52398768503133,5.440393720354352,34.83237824936541,0.0,0.0,0.0,0.0,0.0
2020-10-28 04:00:00,158.13900756835938,163.2010040283203,158.12350463867188,162.46499633789062,111766000,161.2873504638672,162.06512603759765,161.39288940429688,130.4507194519043,161.18629496032696,161.1481246841412,159.15565693653528,46.345014287802535,0.34181036761944483,0.8464261760644443,-0.5046158084449994,-8.136960144544403,162.06512603759765,171.50463035917542,152.62562171601988,5.674535478864398,37.624201048900275,0.0,0.0,0.0,0.0,0.0
