Date,Close_MSFT,High_MSFT,Low_MSFT,Open_MSFT,Volume_MSFT,SMA_10,SMA_20,SMA_50,SMA_200,EMA_10,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Histogram,ROC_12,BB_Middle,BB_Upper,BB_Lower,ATR_14,Volatility_20,Sentiment_1d,Sentiment_3d,Sentiment_7d,News_Volume_7d,Sentiment_Momentum
2020-10-15 04:00:00,209.74339294433594,210.41178833961618,206.25816444692333,207.29896717306707,22733100,204.67121124267578,200.75440063476563,202.33343170166015,178.08661094665527,206.2814247633737,203.5657062284098,200.76312605908151,58.23863886071389,2.6039167970392043,1.0017901866446492,1.602126610394555,5.982829473708229,200.75440063476563,213.74524290129187,187.7635583682394,4.701295101824463,28.958547216615692,0.0,0.0,0.0,0.0,0.0
2020-10-16 04:00:00,209.74339294433594,212.25465097016937,209.4187458337608,210.21126243606867,26057900,205.9573989868164,201.67440338134764,202.40660583496094,178.3745359802246,206.91087352354864,204.15405734421228,201.11529338791505,58.23863886071389,2.7520226811219857,1.3518366855401167,1.400185995581869,4.4358644599840735,201.67440338134764,214.463586312831,188.88522044986428,4.579891193138833,28.346129563975587,0.0,0.0,0.0,0.0,0.0
2020-10-19 04:00:00,204.54904174804688,212.26427199007233,204.0716142422527,210.4691399059083,27625800,206.32406768798828,202.2320411682129,202.44962097167968,178.64596237182616,206.4814495643665,204.19167490648223,201.24995018635158,51.43700268665539,2.422333774860391,1.5659361034041717,0.8563976714562194,0.8283973999918315,202.2320411682129,214.4617919577035,190.0022903787223,4.942735625439058,30.099518167911533,0.0,0.0,0.0,0.0,0.0
2020-10-20 04:00:00,204.9595947265625,207.55680117288514,203.4700234408629,206.05768658353387,22753500,207.15861053466796,202.5772216796875,202.58143310546876,178.91749954223633,206.20474868476575,204.26481012744225,201.39542644283043,51.915009728849235,2.1691762223733804,1.6865841271980135,0.48259209517536683,4.103015563953538,202.5772216796875,214.69992268282942,190.4545206765456,4.863618807388718,29.04713888163299,0.0,0.0,0.0,0.0,0.0
2020-10-21 04:00:00,205.10281372070312,207.12710123202376,203.49865008216514,203.49865008216514,22724900,207.63317413330077,203.25564727783203,202.80888763427734,179.19662086486815,206.00439687311797,204.3446199934671,201.5408141792176,52.09216393225421,1.9575383306711842,1.7407749678926479,0.21676336277853636,2.1009605298158984,203.25564727783203,214.2416358380734,192.26965871759066,4.873167398879551,25.99562141013297,0.0,0.0,0.0,0.0,0.0
2020-10-22 04:00:00,205.18875122070312,206.3059296091729,202.14276202063672,204.27208418481786,22351500,208.04471588134766,203.81423645019532,202.92737487792968,179.4642830657959,205.85609766358797,204.42501344368003,201.68387053378564,52.20594828874799,1.776272451637567,1.7478744646416318,0.02839798699593521,4.3611226617357834,203.81423645019532,213.9234296781097,193.70504322228095,4.698562700755316,25.773998288707155,0.0,0.0,0.0,0.0,0.0
2020-10-23 04:00:00,206.46827697753906,206.51602263791943,203.53687992528793,205.32245397806003,18879600,208.08482360839844,204.21575393676758,203.08078826904296,179.7288697052002,205.96740299339723,204.6196099707142,201.8714943158936,53.95929953273155,1.716083034687756,1.7415161786508568,-0.025433143963100813,3.0501024781182995,204.21575393676758,214.06028109698178,194.37122677655339,4.62353834369956,24.731190714705782,0.0,0.0,0.0,0.0,0.0
2020-10-26 04:00:00,200.5959014892578,206.57328739211215,198.70529303319933,204.19570822507853,37111600,207.0039321899414,204.24630966186524,203.11294372558595,179.96764678955077,204.99076635628097,204.23639963914692,201.82147106779027,45.67714231896143,1.1809179763634745,1.6293965381933806,-0.4484785618299061,-0.2374418537235523,204.24630966186524,214.03920153792026,194.45341778581022,4.806325314375264,26.876614609729927,0.0,0.0,0.0,0.0,0.0
2020-10-27 04:00:00,203.62281799316406,204.97871027314426,200.83464328884742,202.03775528011514,36700300,206.08632049560546,204.53229141235352,203.17934692382812,180.2123696899414,204.7420484720779,204.17796329191046,201.8921121236873,49.94215768522791,0.9896347831005983,1.501444187174824,-0.5118094040742258,-1.1862061101147625,204.53229141235352,213.8686521169052,195.19593070780184,4.83292811007592,27.053925130797253,0.0,0.0,0.0,0.0,0.0
2020-10-28 04:00:00,193.52993774414062,199.41184601487325,192.97613485643993,198.29466779808226,51195600,204.35039215087892,204.16705627441405,203.02084014892577,180.4120751953125,202.7034828851802,203.16386562069428,201.56418371664626,38.958646142237484,0.023361095772003182,1.20582756889426,-1.1824664731222567,-8.455284177284906,204.16705627441405,214.6175156256768,193.71659692315131,5.397660568021375,32.06078195421244,0.0,0.0,0.0,0.0,0.0
2020-10-29 04:00:00,195.4778594970703,197.99867537575767,194.1887997967496,194.8572097568725,31432600,202.92383880615233,203.79752502441406,202.9257357788086,180.61654693603515,201.3897331782511,202.431865037492,201.32550433548641,41.62690347541669,-0.5785673923089689,0.8489485766536141,-1.4275159689625831,-8.139643858941259,203.79752502441406,214.94101274433217,192.65403730449594,5.35674099757109,32.05778027839809,0.0,0.0,0.0,0.0,0.0
