Date,Close_NVDA,High_NVDA,Low_NVDA,Open_NVDA,Volume_NVDA,SMA_10,SMA_20,SMA_50,SMA_200,EMA_10,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Histogram,ROC_12,BB_Middle,BB_Upper,BB_Lower,ATR_14,Volatility_20
2026-05-05 04:00:00,196.5,200.2400054931641,196.02999877929688,199.3000030517578,113406600,204.24400024414064,199.18600006103514,187.42420806884766,184.0894719696045,201.1386128269699,198.03676269516762,191.34969871275268,50.81867063907573,4.685943472407416,5.882994303579197,-1.1970508311717811,-2.568421689755096,199.18600006103514,216.72032184718296,181.65167827488733,6.358571733747212,35.39006146400103
2026-05-06 04:00:00,207.8300018310547,208.2700042724609,198.6100006103516,199.88999938964844,188362800,204.7770004272461,200.47350006103517,187.72401672363281,184.27186431884766,202.35522900953077,198.96945213668067,191.99598510954885,60.80971156009444,4.903507234193995,5.687096889702158,-0.7835896555081625,2.8555895982270263,200.47350006103517,216.42968717009535,184.517312951975,6.910714285714284,39.629909230677434
2026-05-07 04:00:00,211.5,214.1999969482422,206.5,208.33999633789065,168307900,205.96300048828124,201.85299987792968,188.04302856445312,184.49435302734375,204.01791464416152,200.162837647473,192.76084843858615,63.403143238624395,5.310846135290888,5.611846738819904,-0.30100060352901625,5.813485507967742,201.85299987792968,216.49629150948635,187.209708246373,7.2214290073939695,39.801040005938
2026-05-08 04:00:00,215.1999969482422,217.8000030517578,212.88999938964844,213.02999877929688,136421400,206.65599975585937,203.18149948120117,188.6494287109375,184.71659492492677,206.05102051763072,201.59494805707007,193.64081504680797,65.85630966367248,5.864620288599298,5.662401448775784,0.20221883982351407,6.271603431230699,203.18149948120117,217.59289819938385,188.7701007630185,7.362143380301338,39.40496928870537
2026-05-11 04:00:00,219.44000244140625,222.3000030517578,213.88999938964844,214.0399932861328,160685800,206.93899993896486,204.6879997253418,189.49462036132812,184.9452392578125,208.48538086740808,203.29447704605448,194.65254788581183,68.46501813370256,6.569889704023836,5.843899099825395,0.7259906041984419,9.91785369279281,204.6879997253418,219.2918885731418,190.0841108775418,7.695000784737721,39.63998810000977
2026-05-12 04:00:00,220.77999877929688,223.75,214.9199981689453,218.5500030517578,159176600,207.7,205.90149993896483,190.26081787109376,185.1817833709717,210.72076594229694,204.95976483017282,195.6771538032034,69.2642643288878,7.154474968657979,6.106014273591912,1.0484606950660673,6.0066232535676445,205.90149993896483,221.6339368556571,190.16906302227255,8.075715201241627,37.985823327187575
2026-05-13 04:00:00,225.8300018310547,227.83999633789065,221.57000732421875,224.92999267578125,150405400,209.35800018310547,207.2495002746582,191.1766128540039,185.4273302459717,213.46789974025288,206.94740644930442,196.85961843174658,72.13096671920506,7.933800134894426,6.471571445852415,1.4622286890420106,4.2564984048397925,207.2495002746582,224.9429810446918,189.5560195046246,8.107857840401786,38.40308314780091
2026-05-14 04:00:00,235.7400054931641,236.5399932861328,229.3000030517578,229.8500061035156,180782900,212.975,209.11900024414064,192.23081115722655,185.72862617492675,217.51737351350943,209.68955873919583,198.38433949297865,76.71971422017793,9.244510456018332,7.026159247885599,2.2183512081327335,10.58779730641608,209.11900024414064,230.3923528947838,187.84564759349746,8.065000261579241,40.40922059411891
2026-05-15 04:00:00,225.32000732421875,231.5,224.2400054931641,229.759994506836,180977600,215.66200103759766,210.3010009765625,193.07060974121094,185.9590251159668,218.93603420636566,211.1781728901504,199.44064019224297,64.66352294349318,9.334844780105357,7.487896354329551,1.846948425775806,7.679812341323178,210.3010009765625,232.44326855368962,188.1587333994354,8.211429050990514,44.443495404937025
2026-05-18 04:00:00,222.32000732421875,230.0,218.3699951171875,229.8699951171875,146280900,218.04600219726564,211.31400146484376,193.96080230712892,186.18142295837401,219.5513020459753,212.2392999791093,200.33787027584987,61.65924802157845,9.059923298633834,7.802301743190407,1.2576215554434267,11.399508525868152,211.31400146484376,233.72099774249196,188.90700518719555,8.441429138183592,44.951452198260924
