Date,Close_META,High_META,Low_META,Open_META,Volume_META,SMA_10,SMA_20,SMA_50,SMA_200,EMA_10,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Histogram,ROC_12,BB_Middle,BB_Upper,BB_Lower,ATR_14,Volatility_20,Sentiment_1d,Sentiment_3d,Sentiment_7d,News_Volume_7d,Sentiment_Momentum
2020-10-15 04:00:00,264.6432189941406,266.9451618689203,261.6169795530416,265.5163718280196,15416100,263.92981872558596,258.76683349609374,266.26687774658205,221.87395042419433,265.0608315704249,263.4026923950871,260.0420640788105,51.37102456009951,1.3545748869039471,-0.17714580756008935,1.5317206944640365,1.8831962253599288,258.76683349609374,275.0755989061247,242.45806808606278,6.7194011602530805,30.629149812918723,0.0,0.0,0.0,0.0,0.0
2020-10-16 04:00:00,263.859375,269.25701980773687,263.23427554072794,265.2980969389582,16622700,264.52415466308594,259.43161697387694,266.2797769165039,222.1525143432617,264.8423849212567,263.4461859765074,260.19176254630815,50.69198846508135,1.2070703310706676,0.09969742016606203,1.1073729109046055,1.5387574827216088,259.43161697387694,275.4131136193305,243.4501203284234,6.810827182564523,30.40433109731283,0.0,0.0,0.0,0.0,0.0
2020-10-19 04:00:00,259.3646240234375,266.45894507176126,257.8564702810664,263.4624709578556,13587000,264.20168151855466,260.0889579772949,266.1400723266602,222.41411140441895,263.8464283943805,263.05746579050077,260.15932574148974,46.86641089548923,0.7191926629163277,0.22359646871611516,0.4955961942002125,-1.9615171563826639,260.0889579772949,274.814137315316,245.36377863927382,6.963913850515332,30.377341163266973,0.0,0.0,0.0,0.0,0.0
2020-10-20 04:00:00,265.4766845703125,267.60003633807696,260.83313190654906,261.011723098242,18763200,265.0847503662109,260.724471282959,266.2305630493164,222.68677169799804,264.1428386081863,263.28786757905425,260.3678496171298,52.15413504607957,0.8163281783533307,0.3421428106435583,0.47418536770977243,2.9314460860412117,260.724471282959,275.2142301028759,246.2347124630421,7.128341999103763,30.079685942097417,0.0,0.0,0.0,0.0,0.0
2020-10-21 04:00:00,276.5596923828125,280.8460318857518,274.21805267032346,277.3832163022332,28998600,267.12970581054685,262.1984039306641,266.6790432739258,223.01256492614746,266.4004483853911,264.55185089369786,261.00282384323503,59.93937546084802,1.7672432005235805,0.6271628886195628,1.1400803119040177,5.320222097016836,262.1984039306641,276.8410864656893,247.5557213956389,7.7704460532402635,31.571062218103087,0.0,0.0,0.0,0.0,0.0
2020-10-22 04:00:00,275.9544677734375,280.2507700259032,272.89846291862375,277.6908417382077,16720000,268.5545257568359,263.616773223877,267.0408041381836,223.32461616516113,268.1375428195813,265.637814406054,261.58916282089,59.37124587825088,2.443842543065614,0.990498819508773,1.453343723556841,7.523387067622256,263.616773223877,277.788218593423,249.44532785433094,7.767612955699724,31.674157986987083,0.0,0.0,0.0,0.0,0.0
2020-10-23 04:00:00,282.572509765625,283.0189877020772,274.66456643827354,276.6291299185733,17535200,270.57268676757815,265.1036041259766,267.506946105957,223.6544775390625,270.7620822643165,267.250642535537,262.41203917166393,63.45078301086246,3.4740266593277624,1.487204387472571,1.9868222718551913,10.332418716055614,265.1036041259766,280.68240938138837,249.52479887056478,8.014955326415253,31.870407087236213,0.0,0.0,0.0,0.0,0.0
2020-10-26 04:00:00,274.9523010253906,283.00910103507454,272.1245164393334,280.9552115795528,21322900,270.70762939453124,266.1102035522461,267.8218746948242,223.94742858886718,271.52394022087543,267.98413382028497,262.9038141463199,56.42534161031765,3.6336810200349987,1.9164997139850568,1.717181306049942,5.0614120939303175,266.1102035522461,281.49171650559055,250.72869059890164,8.264425362872545,33.900024759269975,0.0,0.0,0.0,0.0,0.0
2020-10-27 04:00:00,281.08416748046875,282.294669146969,274.1585064337769,276.5894415912417,16287200,271.41705627441405,267.1768325805664,268.2610269165039,224.2519387817383,273.2621633589833,269.2317560736358,263.6167691790316,60.24030341736961,4.206508615067833,2.374501494201612,1.8320071208662205,7.124205849599186,267.1768325805664,283.6234966734664,250.73016848766642,8.465704863497674,34.09252864635226,0.0,0.0,0.0,0.0,0.0
2020-10-28 04:00:00,265.5858154296875,276.61922530983355,265.17900423878854,276.61922530983355,23121800,271.0052856445312,267.4630859375,268.36679595947265,224.49309631347657,271.86646373547495,268.884523631355,263.69398667905733,48.64737548986023,3.37103196763735,2.5738075888887595,0.7972243787485906,-2.9301809541751433,267.4630859375,283.5693647754839,251.35680709951612,9.141115128543719,40.08132810177861,0.0,0.0,0.0,0.0,0.0
