Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,-1.8894045351984268,-1.9179084988487098,-1.8885964776252149,-1.9119429788805602,0.8437927960679448
2020-01-03,-1.9062136330176098,-1.9180229324251397,-1.8810145019806916,-1.9066969309628048,1.0475084117853917
2020-01-06,-1.892570746470173,-1.9215804731768336,-1.9027178245942347,-1.9260655947812293,0.5226321893220708
2020-01-07,-1.9006870525633446,-1.9161868563338904,-1.8753426717269153,-1.891190620042478,0.3438530604691738
2020-01-08,-1.8730554244945539,-1.8958766192011234,-1.877194968672344,-1.906639438478582,0.779888351279136
2020-01-09,-1.8359823196956873,-1.861509342697459,-1.8248761251870278,-1.8485341681766525,1.4944111408129968
2020-01-10,-1.8319529272206168,-1.8486575721366565,-1.8130120759173842,-1.8291658569547384,0.9408256417304534
2020-01-13,-1.7937863746173706,-1.8234130997114901,-1.7962286200204325,-1.8231709603917512,0.5817191874321043
2020-01-14,-1.818425082959241,-1.8205446067046065,-1.7903255169530758,-1.7940033304893974,1.3412073178070145
2020-01-15,-1.8261385590222654,-1.8324206710332775,-1.8054883694231303,-1.821960271646316,0.58907687900546
2020-01-16,-1.803686928318088,-1.831272427376004,-1.790787495175175,-1.8119295834675628,0.343048900103138
2020-01-17,-1.7835969409989652,-1.8138316772200336,-1.7739468503462108,-1.796481906082913,0.8876834179151333
2020-01-21,-1.796031337455961,-1.8122251981030493,-1.768159386265144,-1.7911785720408682,0.38088953041145884
2020-01-22,-1.7895261694544435,-1.8066597812968155,-1.7605777195149082,-1.7831660333879136,0.21158746904988107
2020-01-23,-1.7807181534134373,-1.8091264962749996,-1.7701845849456657,-1.7869700499394963,0.2611823686337161
2020-01-24,-1.7860148313245146,-1.7874969691370848,-1.7593625438809493,-1.7735395496309714,1.05154424465045
2020-01-27,-1.8398973980004314,-1.853821818253767,-1.8325161957676053,-1.8322791118757071,1.3409367591791894
2020-01-28,-1.7895838726264077,-1.8157823346424984,-1.790209541256491,-1.8176371101924718,1.3464606644972859
2020-01-29,-1.7513017316502995,-1.7615632779082793,-1.7370224284566598,-1.7493285516636685,2.360965332632264
2020-01-30,-1.754007409719935,-1.7831360682364072,-1.7522435063924822,-1.7718674193815107,0.6796313486350446
2020-01-31,-1.8366733015277874,-1.7912261897728925,-1.8127805750710275,-1.7696197348576876,2.0483047761105633
2020-02-03,-1.841566421292983,-1.8439529929314116,-1.847910394144476,-1.8654816509680983,1.5635539012571977
2020-02-04,-1.7829061411957987,-1.808667832854102,-1.781875606724741,-1.8020156516802015,0.865136865596372
2020-02-05,-1.7679386300982585,-1.7792921219177473,-1.7510861437726655,-1.7546898196849354,0.530891742988177
2020-02-06,-1.746293569599043,-1.7766528213312158,-1.7435044548502945,-1.7601657571289018,0.27909936220969167
2020-02-07,-1.7717408504641454,-1.7826915142266702,-1.7522164756374312,-1.7569086390509219,0.5094199096632768
2020-02-10,-1.762969968325602,-1.7933309075770134,-1.776291327043759,-1.8042310778533128,0.35281155725716157
2020-02-11,-1.7741645657155714,-1.7798161004405906,-1.748097782465158,-1.7498016403939696,0.07049866015651315
2020-02-12,-1.7303676761658846,-1.7607226346589322,-1.7320864498125632,-1.7621089887027654,0.43513653529039825
2020-02-13,-1.743813061320321,-1.766474105369401,-1.7211806202444282,-1.7463930396948444,0.07847262415991502
2020-02-14,-1.7433508898578074,-1.7678538499435736,-1.7240807680536239,-1.7432147193910585,-0.19648258136737767
2020-02-18,-1.7776844592053815,-1.8036829382852984,-1.7718827792646266,-1.79741322151892,1.1641567579652226
2020-02-19,-1.7510255937579666,-1.7759629060324158,-1.7406142725586695,-1.770602839145097,0.06412550136774332
2020-02-20,-1.7701830468500483,-1.7755028424702581,-1.750998395040846,-1.7554064027593554,0.18779334083614843
2020-02-21,-1.812017846524022,-1.7996570448296036,-1.7957254883087037,-1.7785765251602264,0.7324428896830228
2020-02-24,-1.8978226452635745,-1.8932266225724723,-1.919116879115827,-1.9019963712196202,2.4730592752437053
2020-02-25,-1.95610248488945,-1.9027153284649043,-1.9371001601694877,-1.8806747785279605,2.6323581828931926
2020-02-26,-1.929732317330789,-1.9294578622561778,-1.9349539951798862,-1.963995034882287,2.0194902822471863
2020-02-27,-2.040118485298115,-1.997780047536933,-2.01350203996905,-1.9953698399632027,4.322071968835552
2020-02-28,-2.041042100107408,-2.0414307279141637,-2.1097441016432605,-2.1331195895085155,6.311887881658062
2020-03-02,-1.894186981371969,-1.9089840637783597,-1.98588832093313,-1.9885517541985935,4.712721049827848
2020-03-03,-1.9489476556237686,-1.8942618140665286,-1.9390151403162346,-1.8649589066129153,4.300840632068718
2020-03-04,-1.871509634790077,-1.8977120642267196,-1.8964919251858323,-1.9067340878970593,2.4163772427143395
2020-03-05,-1.9281743316877584,-1.9198538494337158,-1.9064702419767658,-1.9120502635028842,1.8225461477428075
2020-03-06,-1.9506205015239266,-1.9700597954431238,-1.9655258595192475,-1.9901693859916016,2.547868735837355
2020-03-09,-2.0825301346627962,-2.0432706686126263,-2.0712817723552113,-2.095619497292966,3.685868386539628
2020-03-10,-1.9719137000944147,-1.995250050404172,-2.034328742747418,-2.0182514499512676,3.65853444961185
2020-03-11,-2.0290973614819054,-2.0252702044690576,-2.0198835977216936,-2.016806686268795,3.1006726211061815
2020-03-12,-2.1860499892242617,-2.0897966915891137,-2.158299800985168,-2.1407464591436716,6.160901136296758
2020-03-13,-2.01444057377409,-2.032746357498367,-2.1295839291630974,-2.08903257259718,5.263886552294844
2020-03-16,-2.2207873897611177,-2.152598196504882,-2.2047094496603767,-2.2215819609257488,4.356229995598476
2020-03-17,-2.15933378466275,-2.1610525160633434,-2.2139916626199203,-2.1894561323464354,4.38690082226943
2020-03-18,-2.1950517750651284,-2.2048174793651563,-2.2214168786765343,-2.2341781056485153,3.9393066656373827
2020-03-19,-2.2059577655808105,-2.188484651485482,-2.1895683966851256,-2.190149249374142,3.406148342955637
2020-03-20,-2.295628767856425,-2.1942934289440106,-2.2743240285959763,-2.1913629462195043,5.845610148671201
2020-03-23,-2.323729848545075,-2.3284645851262518,-2.363603903543094,-2.301723749178368,4.625458376836803
2020-03-24,-2.1938400084538823,-2.218102393852744,-2.237776227463866,-2.253881418306505,3.7006438938258563
2020-03-25,-2.2016874578120667,-2.1573712882909426,-2.1797641332579833,-2.170734654226062,4.002594837996146
2020-03-26,-2.1271353236923147,-2.1548988084949467,-2.167814100322587,-2.19517631631464,3.0346938935040466
2020-03-27,-2.1888776266794365,-2.171059079794188,-2.1638111509388276,-2.1591787911596696,2.135266828404025
2020-03-30,-2.1480813930863496,-2.1730717824069608,-2.1501783031359465,-2.1707925944639093,1.4543534328599979
2020-03-31,-2.1510819580284832,-2.132987128556416,-2.135095146100544,-2.1427110947176846,1.9997094403461935
2020-04-01,-2.2282886200875174,-2.2121786126250482,-2.2097562515151887,-2.1952914681962796,1.6092106697026891
2020-04-02,-2.2050918539434816,-2.232709717462196,-2.2226928431278283,-2.2308843380916468,1.4159792008134662
2020-04-03,-2.225403643518246,-2.2295469498821565,-2.2106846472694817,-2.216670536069392,0.7385680363962863
2020-04-06,-2.103881127419715,-2.1294219642561627,-2.1502946655239157,-2.169868571822191,2.090241363423459
2020-04-07,-2.1214223456100014,-2.0800198105371797,-2.0944866522066654,-2.0548842143100696,2.110285248434838
2020-04-08,-2.0831069843535035,-2.104921553974349,-2.0815496024084066,-2.101455200330907,1.4716165764187292
2020-04-09,-2.0720281573653296,-2.0893937834068503,-2.061419553836004,-2.067017801181965,1.338960178092578
2020-04-13,-2.041676470941146,-2.0685177673486006,-2.0548646214063337,-2.0692716047566835,0.7600398697211865
2020-04-14,-1.962046093630686,-1.9848402873854483,-1.983974064835003,-2.001725830749533,1.9619965738343454
2020-04-15,-1.9771645067142143,-1.9958825479201683,-1.9690070879431745,-1.9878586675854146,0.7625124749588107
2020-04-16,-1.9641235898503273,-1.9851280340564303,-1.959029099917157,-1.9590838329676574,1.2504724757588799
2020-04-17,-1.9865701237443627,-1.9923167233586905,-1.9908776530402121,-1.9746267790974257,2.342567345940155
2020-04-20,-2.0204418856872906,-2.022624785220199,-1.9909355448235802,-2.0135709827187362,0.7411082812908667
2020-04-21,-2.069835436830694,-2.048101421548017,-2.0571848274759983,-2.0232200513299614,1.6988933393092815
2020-04-22,-2.025231066931377,-2.0443635779448366,-2.017910936770605,-2.0386478978037137,0.49398303684236494
2020-04-23,-2.0314056703894035,-2.022222383307757,-2.0024221745558473,-2.0255896971753997,0.6433915235413558
2020-04-24,-1.985588623734172,-2.0149753451266252,-1.9900649410435305,-2.01790408364352,0.6686962707604454
2020-04-27,-1.984435106381691,-2.006176886301335,-1.9729519679917964,-1.9913256643427943,0.4982142731608525
2020-04-28,-2.01092068028428,-1.9987578150204701,-1.9831036922758631,-1.9723732052516738,0.40271459305601964
2020-04-29,-1.958122277937127,-1.9766738789745002,-1.9500950907252073,-1.974395581990997,0.8776201400635262
2020-04-30,-1.923096634583851,-1.9487240149924545,-1.924221907723436,-1.9441764122106227,1.7378312351637821
2020-05-01,-1.9503900528939375,-1.9230167929248378,-1.9387247925808015,-1.9656129490872594,2.819178915406448
2020-05-04,-1.9267892735316863,-1.9535545873639482,-1.9359980461560056,-1.9487406963445144,0.8078611071892791
2020-05-05,-1.9013998778674817,-1.911514526157441,-1.888776432057495,-1.914707880967943,1.0743463245621572
2020-05-06,-1.8836846400166352,-1.898631957975108,-1.8631928534708422,-1.8835059744681046,0.97255615636039
