Model,R² Score,RMSE ($),MAE ($),MAPE (%),Training Time (s)
Linear Regression,0.931587058019956,2.3223932593734946,1.7384015499143037,0.009744577135496103,0.033728837966918945
Random Forest Regressor,0.8656670788608472,3.254302038648101,2.5787272196381905,0.01424950273945261,0.3182988166809082
Support Vector Regression,0.23460530168256155,7.768002446573008,6.612185740671273,0.036672610122649565,0.08668112754821777
